customer_id,name,gender,age,country,signup_date,customer_tier,months_since_signup,churned,CLV,next_purchase_prob,total_spent,weekly_visits,session_time_minutes,page_views,app_opens,num_promotions_responded,high_spender,high_engagement
17,Holly Wood,M,20,USA,2023-08-22,Bronze,4,False,109.47377503899465,0.3553091630129261,200.70999999999998,6,3.54,24.0,6,0,False,False
18,Derek Zuniga,M,21,EU,2023-12-28,Bronze,0,False,107.89865500508496,0.533708317891615,325.83,6,23.24,24.0,6,1,False,False
19,Lisa Jackson,M,44,EU,2021-08-10,Silver,29,True,138.2747205237983,0.3212106037090458,795.6099999999999,9,-0.92,36.0,6,1,False,False
20,Carla Gray,M,21,USA,2023-06-13,Silver,6,False,150.7156640205112,0.7507197235749584,619.99,10,16.09,20.0,10,1,False,False
21,Margaret Hawkins DDS,M,18,EU,2023-03-23,Silver,9,False,142.40958572417492,0.5256426098504189,519.72,8,17.26,32.0,6,0,False,False
22,Patty Perez,M,39,USA,2019-07-23,Gold,54,True,233.98832424185872,0.497013151892708,985.79,6,8.5,12.0,7,0,False,False
23,Ethan Adams,F,29,USA,2019-11-11,Bronze,50,False,74.22424137235741,0.3292062356025459,422.3,6,12.67,18.0,6,0,False,False
24,Tommy Walter,M,30,USA,2019-03-16,Silver,58,True,139.7817852419148,0.466187690195156,511.37,7,9.81,28.0,5,0,False,False
25,Matthew Foster,F,29,EU,2020-10-06,Bronze,39,False,96.08902878739516,0.4886594130048374,225.84000000000003,4,11.44,16.0,3,0,False,False
26,Judy Baker,M,35,Asia,2021-11-28,Silver,25,True,191.8404679193555,0.3388920990418037,630.99,9,27.55,36.0,6,0,False,False
27,Justin Baker,F,25,USA,2019-11-01,Silver,50,True,185.260319340482,0.5226424723560462,498.09,8,9.93,24.0,9,1,False,False
28,Stephanie Ross,F,47,EU,2023-12-08,Bronze,0,False,107.84307767201167,0.3711963410511285,252.04000000000002,4,9.85,16.0,3,1,False,False
29,Zachary Hicks,F,18,EU,2020-08-26,Bronze,40,True,80.11172525673352,0.5652013389844847,217.66,5,15.0,20.0,3,1,False,False
30,Anthony Rodriguez,F,37,USA,2021-01-20,Gold,35,True,202.2896611944348,0.3520852394869628,1266.4,9,17.28,36.0,6,1,False,False
31,Rebecca Henderson,M,39,EU,2019-11-17,Bronze,50,False,137.59294549781737,0.5235645203057205,415.42,3,25.7,9.0,2,1,False,False
32,James Ferrell,Other,25,USA,2019-02-10,Bronze,59,True,97.02610753666104,0.4709466802738741,306.27,8,15.53,16.0,6,0,False,False
33,Tricia Valencia,F,22,USA,2021-12-02,Gold,25,True,205.14472754802304,0.5452073842998998,741.4300000000001,10,12.0,40.0,9,1,False,False
34,Nathan Maldonado,F,43,Other,2019-09-19,Silver,52,False,155.59232234777542,0.5248490007699018,764.19,6,11.2,24.0,7,0,False,False
35,Debra Davidson,F,23,Other,2021-10-06,Silver,27,True,124.50686902819186,0.5142149224684963,951.57,9,13.58,36.0,11,1,False,False
36,Jeffrey Chavez,M,26,Asia,2021-12-02,Gold,25,False,167.6409868786874,0.3890552952104314,485.46999999999997,13,5.66,39.0,12,1,False,False
37,Sherri Baker,F,41,USA,2023-12-18,Bronze,0,False,83.79994785116371,0.5831032491225738,659.9,4,7.1,16.0,5,0,False,False
38,Cassandra Gaines,M,33,USA,2021-01-14,Bronze,36,True,94.03454863611098,0.543103904294086,396.3,5,18.87,15.0,3,0,False,False
39,Elizabeth Fowler,F,18,EU,2022-01-06,Silver,24,False,163.2660680728294,0.5955727499191488,447.73,7,14.27,28.0,7,0,False,False
40,Brittany Farmer,M,50,EU,2019-05-12,Silver,56,True,155.09807974114335,0.4961996575263752,427.51,11,25.85,22.0,8,0,False,False
41,Paula Moreno,F,27,USA,2023-11-20,Bronze,1,False,110.14757561303696,0.4730736720057467,178.76999999999998,7,13.65,14.0,5,0,False,False
42,Fred Smith,M,28,EU,2020-02-21,Bronze,47,True,143.20821522171616,0.3477590581329371,512.33,1,9.45,3.0,1,0,False,False
43,Sherry Decker,M,35,USA,2022-11-27,Bronze,13,False,151.89716421765624,0.4008886841385792,305.65000000000003,4,27.98,20.0,3,1,False,False
44,Anthony Humphrey,F,39,Other,2021-01-08,Gold,36,True,203.7535675562454,0.4290115929461525,830.2,11,22.93,33.0,11,0,False,False
45,Angelica Tucker,F,52,USA,2020-11-03,Bronze,38,False,118.46377933799656,0.644214319891499,345.05,6,19.43,24.0,7,1,False,False
46,Philip Cannon,F,18,EU,2020-05-05,Gold,44,False,226.3641972092118,0.3133229815723969,272.72,9,25.46,18.0,9,0,False,False
47,John Pierce,M,41,USA,2020-10-17,Platinum,39,True,364.61644274329575,0.2990891833045778,540.32,21,25.91,42.0,26,0,False,False
48,Shane Henderson,M,40,EU,2020-05-26,Silver,43,True,181.25077202965196,0.4894024426461194,454.87,9,20.39,36.0,11,1,False,False
49,Joshua Blair,F,31,EU,2023-11-20,Silver,1,False,134.1536477818765,0.38504657349763,300.53,7,16.63,21.0,7,1,False,False
50,Eric Carney,Other,40,USA,2023-07-05,Bronze,6,False,139.62650093252404,0.4426293134861744,130.93,6,7.62,20.0,5,0,False,False
51,Jessica Holmes,F,42,Other,2020-05-14,Bronze,44,True,130.62196474930028,0.4340551640653824,339.31,7,8.58,28.0,7,0,False,False
52,Danny Morgan,M,19,Asia,2022-07-20,Silver,17,False,178.99729257187306,0.4053641987762946,527.47,11,26.86,22.0,10,1,False,False
53,Crystal Robinson,F,50,Other,2019-04-28,Bronze,56,True,113.71331775186388,0.3855447025099603,237.91,5,7.76,20.0,4,1,False,False
54,Mark Perez,M,18,Asia,2019-11-14,Bronze,50,True,107.96800191722193,0.3602404042860222,234.45,7,15.95,28.0,7,1,False,False
55,Shannon Jones,F,21,EU,2023-08-09,Silver,4,False,156.15697681062272,0.4445776056214662,302.5,11,16.19,22.0,12,0,False,False
56,Michael Lewis,M,30,Other,2022-08-08,Bronze,17,False,115.75302573986689,0.2806464153293238,517.9,2,23.33,6.0,1,1,False,False
57,Timothy Duncan,M,52,USA,2022-10-11,Silver,14,False,157.61260663457793,0.5908487938778576,422.84,8,14.9,20.0,6,1,False,False
58,Richard Aguirre,F,29,USA,2021-03-28,Bronze,33,True,107.55951368264977,0.3673445951059616,704.66,5,7.28,15.0,5,1,False,False
59,Brent Jordan,F,32,USA,2023-10-18,Bronze,2,False,100.47191219672172,0.5679781677830242,761.37,9,23.22,27.0,7,0,False,False
60,John Daniel,M,47,USA,2022-11-09,Bronze,13,False,97.32993370161364,0.4010958933023824,548.13,8,17.12,24.0,6,0,False,False
61,Victoria Garcia,M,29,USA,2022-11-02,Platinum,14,False,414.9441398185895,0.6556067573895521,1129.91,13,14.56,26.0,9,0,False,False
62,Gerald Hensley,M,21,USA,2019-01-22,Gold,60,True,208.4263940011624,0.5060387278779198,381.24,6,15.07,12.0,6,1,False,False
63,Connor West,F,28,Asia,2022-10-02,Bronze,15,False,94.30645166896372,0.338508966011158,631.95,8,9.33,32.0,10,0,False,False
64,Donald Wright,M,46,USA,2022-12-06,Bronze,13,False,105.816914852586,0.8747072916225953,488.97,8,14.34,24.0,7,0,False,False
65,Jessica Callahan,M,33,USA,2020-11-06,Gold,38,True,156.6900414095333,0.4373348700128942,2990.86,6,23.03,18.0,6,0,True,False
66,Amber Kidd,F,52,EU,2019-02-11,Bronze,59,False,121.32848516549188,0.4165176655686104,555.15,6,13.9,24.0,6,1,False,False
67,Tracy House,F,40,USA,2019-07-23,Bronze,54,True,102.75927242077174,0.4267510463957235,182.38,5,19.34,10.0,4,1,False,False
68,Carol Tucker,F,26,Asia,2020-11-10,Bronze,38,False,95.96571302536556,0.5596920915956028,418.5,3,18.95,9.0,3,1,False,False
69,James Brown,F,33,USA,2019-04-13,Silver,57,True,140.87519012017628,0.2820885706565335,567.57,11,15.81,44.0,11,1,False,False
70,William Baker,F,24,Other,2021-03-21,Bronze,33,False,70.9428878183251,0.5203824421762758,565.81,3,12.5,12.0,2,1,False,False
71,Jordan Henderson,F,26,Asia,2021-11-28,Bronze,25,True,139.02508868425122,0.2472196889075565,497.61,4,15.9,12.0,4,0,False,False
72,Whitney Peters,F,65,USA,2023-11-19,Silver,1,False,159.74112458777432,0.4889428545509335,756.8100000000001,14,17.36,56.0,11,0,False,False
73,Brittney Phillips,F,43,USA,2019-07-28,Bronze,53,True,138.74042626589954,0.6689915960665725,175.75,7,13.91,21.0,8,0,False,False
74,Lauren Daniels,M,41,Asia,2019-07-02,Silver,54,False,146.24752276108347,0.4168081647199761,725.15,7,13.26,21.0,8,1,False,False
75,Amy Silva,Other,26,Asia,2021-07-20,Silver,29,True,167.6899321846021,0.6331530579794385,750.24,7,15.49,21.0,8,1,False,False
76,Sarah Moore,M,48,Asia,2023-01-14,Bronze,11,False,117.38255894574554,0.2495900345176151,448.94,4,16.98,16.0,3,1,False,False
77,Angela Lopez,M,43,Asia,2023-12-28,Bronze,0,False,112.4812326092104,0.4067516335493478,190.02,4,10.94,8.0,3,1,False,False
78,Megan Young,M,51,USA,2021-04-01,Silver,33,True,140.47980762987686,0.3163312053790357,389.05,9,8.98,18.0,9,0,False,False
79,Steve Sanchez,M,51,USA,2021-04-27,Bronze,32,True,67.26033431753797,0.7862296705626846,205.26999999999998,8,16.24,32.0,9,1,False,False
80,Lisa Barnes,F,18,USA,2020-10-12,Bronze,39,True,147.8175678156449,0.438833471282895,747.36,7,25.18,21.0,8,0,False,False
81,Kelly Donovan,F,21,Asia,2023-01-18,Silver,11,False,132.0864728281507,0.4024342971606187,851.3299999999999,9,12.12,36.0,7,1,False,False
82,Mike Allen,F,22,EU,2023-11-24,Silver,1,False,230.1166028427724,0.4613352866196364,592.48,9,16.52,36.0,11,0,False,False
83,Michael Evans,F,23,USA,2020-12-16,Bronze,37,True,90.59616090873236,0.501003775964569,750.68,5,12.01,20.0,5,1,False,False
84,Paul Jones,F,36,USA,2021-08-05,Bronze,29,True,130.23863508400345,0.4443453545664222,540.35,3,13.99,6.0,3,0,False,False
85,Zachary Ferrell,M,27,USA,2020-12-21,Bronze,36,True,114.3661142714474,0.3213272566472052,402.4,6,17.71,12.0,7,0,False,False
86,Daniel Baker,F,53,USA,2020-07-19,Silver,42,True,172.9215234488732,0.7024010007186232,745.75,7,11.64,21.0,7,0,False,False
87,Shirley Suarez,F,52,Asia,2022-05-14,Silver,19,False,135.1471859629862,0.6632242621237285,620.44,9,16.62,36.0,7,0,False,False
88,Christopher Bass,M,32,EU,2023-12-11,Silver,0,False,141.79796783902884,0.5499770839851134,448.03000000000003,10,14.38,40.0,7,1,False,False
89,Lisa Archer,F,52,Asia,2021-05-17,Silver,31,True,142.22381065806582,0.5419801183599467,1267.77,7,24.0,28.0,6,1,False,False
90,Aimee Montoya,M,47,EU,2022-08-22,Gold,16,False,210.9907546657924,0.5323076016384294,1051.21,9,13.87,27.0,8,1,False,False
91,Matthew Mcmillan,M,28,USA,2022-11-15,Bronze,13,False,98.30529205499116,0.4315046306881995,138.0,6,7.1,24.0,6,0,False,False
92,Brian Rodriguez,M,18,Asia,2022-07-16,Bronze,17,False,91.8656684059768,0.4152182708897217,445.17,4,10.6,16.0,4,1,False,False
93,Denise Jacobs,M,30,Asia,2021-08-14,Gold,29,False,167.3789378518856,0.7391031082350376,732.72,11,24.27,44.0,10,1,False,False
94,Christina Walters,F,26,EU,2020-11-28,Bronze,37,True,85.66023901081215,0.5937657328659413,314.4,5,14.47,20.0,6,0,False,False
95,John Whitehead,F,35,Asia,2021-11-17,Bronze,25,True,110.67485341335332,0.300529528631952,336.47,4,10.65,16.0,4,0,False,False
96,Anna Henderson,M,33,EU,2023-11-04,Bronze,1,False,85.96287080931738,0.4322504976733822,379.18,4,19.91,16.0,4,1,False,False
97,Aaron Wise,F,33,EU,2023-10-14,Gold,2,False,156.03822852265117,0.5731469104540718,1001.06,16,16.3,32.0,12,1,False,False
98,Deborah Figueroa,F,38,EU,2020-05-04,Bronze,44,True,102.8202027311342,0.5551887390663809,490.33,2,8.04,4.0,2,1,False,False
99,Jessica Smith,M,20,USA,2021-07-27,Bronze,29,True,56.36054319915261,0.5791884125300986,493.40999999999997,3,21.88,6.0,2,0,False,False
100,Stephen Mckee,M,37,USA,2020-12-03,Silver,37,False,149.80807242117922,0.2770942832346116,773.95,7,0.99,28.0,9,0,False,False
101,Sandra Aguilar,F,28,USA,2020-11-04,Bronze,38,True,101.57675519336271,0.5480228611759197,698.9399999999999,5,22.75,15.0,4,0,False,False
102,Cameron Parker,F,34,EU,2021-02-22,Gold,34,True,222.51589932740237,0.6673192400942336,369.02,13,19.77,52.0,10,0,False,False
103,Rebecca Valencia,Other,42,USA,2023-11-06,Bronze,1,False,106.82203906566744,0.2742142715486557,525.28,3,15.08,9.0,2,1,False,False
104,Christine Wright,M,20,EU,2021-07-27,Silver,29,True,111.66257405421248,0.7609408498727499,952.5699999999999,3,16.65,9.0,3,0,False,False
105,Richard Henson,F,30,Other,2023-12-22,Bronze,0,False,96.27559395944144,0.54951301764144,936.48,5,18.59,15.0,5,0,False,False
106,Marc Moore,M,31,USA,2019-03-22,Gold,58,True,226.11118196336977,0.5164589613349377,961.55,7,24.28,21.0,5,0,False,False
107,Sharon Cherry,M,27,EU,2019-07-04,Gold,54,True,216.7216128975172,0.3572622801366711,359.74,13,19.7,52.0,9,1,False,False
108,Sierra Johnson,F,41,Asia,2019-01-27,Silver,60,False,126.54388738358328,0.4044740326427026,467.45,13,19.03,52.0,16,0,False,False
109,Evelyn Galvan,M,25,USA,2022-06-07,Gold,19,False,216.63613897057763,0.4433685253012005,611.87,8,16.23,20.0,6,0,False,False
110,Sharon Cochran,M,27,USA,2023-10-07,Bronze,2,False,118.2977850360888,0.2861219151403469,342.84000000000003,6,16.66,20.0,7,1,False,False
111,Richard Rodriguez,M,25,USA,2023-11-18,Gold,1,False,160.948038551582,0.4527753226719033,510.71000000000004,10,27.61,30.0,9,0,False,False
112,Shannon Walker,M,43,USA,2021-11-12,Silver,26,True,91.19298784162294,0.3661809741957046,743.03,6,15.49,24.0,4,1,False,False
113,Julia Torres,F,28,Other,2023-11-16,Gold,1,False,270.9625354562874,0.6024436335321994,799.4399999999999,12,13.25,36.0,12,0,False,False
114,Crystal Johnson,F,37,Asia,2021-01-06,Silver,36,True,159.4600474223323,0.0430725125055053,556.53,8,15.99,16.0,8,1,False,False
115,Garrett Lin,M,52,EU,2022-08-05,Bronze,17,False,90.8541634221761,0.4629444883299222,759.91,3,22.98,12.0,2,1,False,False
116,Diana May,M,32,Asia,2021-11-10,Silver,26,False,135.25334115118133,0.3548465323289338,375.03000000000003,3,19.26,6.0,3,0,False,False
117,William Herrera,M,44,Asia,2019-05-17,Bronze,56,False,102.93581075047544,0.5004025505809615,330.32,5,11.36,20.0,5,1,False,False
118,Ashley Waller,F,49,USA,2021-04-03,Silver,33,True,181.2305523156468,0.8530752477473504,819.5400000000001,14,12.24,56.0,15,0,False,False
119,Victor Baker,M,43,Asia,2021-08-09,Bronze,29,True,69.80423726257028,0.7511240536002148,580.74,5,6.59,20.0,4,0,False,False
120,Jeffrey Chandler,F,32,EU,2021-04-27,Bronze,32,False,91.98110880352512,0.4257538416140425,272.98,7,9.46,14.0,8,0,False,False
121,Larry Dixon,M,39,Asia,2023-11-25,Platinum,1,False,399.23804519727446,0.4721813879640132,1841.95,23,22.61,69.0,29,1,True,False
122,Kenneth Scott,M,20,Asia,2020-12-10,Gold,37,True,232.98475823280404,0.3743251892740258,1413.94,9,24.73,36.0,8,1,False,False
123,April Frost,F,25,USA,2020-11-25,Gold,37,True,229.5723088221904,0.47737052687757,963.4100000000001,13,12.48,52.0,15,1,False,False
124,Michelle Harmon,F,26,USA,2020-05-27,Silver,43,True,162.23089534136682,0.6104219029201278,686.02,13,15.09,26.0,14,1,False,False
125,Helen Jones,M,55,USA,2023-12-10,Silver,0,False,159.3144382959751,0.3029476908831814,771.6,7,7.91,21.0,8,0,False,False
126,Erin Edwards,F,24,EU,2019-11-21,Silver,50,True,135.95474688534765,0.735005899556069,497.35,12,13.4,48.0,12,0,False,False
127,Michelle Evans,F,24,Asia,2020-03-06,Bronze,46,False,88.83566964871949,0.6371642709748055,392.4,7,11.05,14.0,5,1,False,False
128,Jason Powell,F,22,Asia,2020-11-25,Gold,37,True,232.24529790241465,0.6306336134706431,1076.97,12,15.85,36.0,14,1,False,False
129,Cameron Fisher,F,38,USA,2022-12-04,Gold,13,False,178.41569744450896,0.5573707452425509,762.01,12,18.14,24.0,8,0,False,False
130,Megan Orr,F,34,EU,2022-02-11,Silver,22,False,158.51497745384586,0.36445976758936,449.0,11,20.21,33.0,9,0,False,False
131,Elizabeth Kelley,Other,43,EU,2019-06-20,Gold,55,True,206.06941965300248,0.6518151211719005,601.08,11,26.71,33.0,8,1,False,False
132,Dustin Jordan,M,39,USA,2021-08-28,Silver,28,True,215.75662747452597,0.4520403776332054,367.04,5,17.25,10.0,4,0,False,False
133,Mary Marshall,F,19,USA,2021-03-09,Bronze,34,False,96.79155407326624,0.2467208039580805,521.83,6,21.98,18.0,7,1,False,False
134,Daniel Kennedy,M,24,USA,2022-06-12,Platinum,18,False,370.1077987351201,0.5119368998590401,1206.51,23,22.07,92.0,21,0,False,False
135,Rebecca Jackson,M,46,Other,2022-02-23,Bronze,22,False,114.14610211327827,0.326146441966024,459.59999999999997,6,12.64,18.0,7,1,False,False
136,Jose Schultz,M,30,USA,2019-11-22,Silver,50,True,146.48271337763003,0.4092375658446938,1293.67,9,20.95,27.0,7,1,False,False
137,Robert Potter,M,44,EU,2019-11-10,Bronze,50,False,75.12025328478882,0.6060067181460881,372.96999999999997,2,17.3,4.0,2,1,False,False
138,Courtney Gonzalez,F,31,Asia,2023-12-06,Silver,0,False,148.4110932567106,0.4820558933420811,259.8,8,17.08,32.0,10,1,False,False
139,David Alvarez,F,23,USA,2021-12-13,Silver,24,False,176.97709280241597,0.4943828304039819,491.68999999999994,5,22.37,10.0,3,1,False,False
140,Angel Perry,F,29,Other,2023-04-05,Silver,9,False,113.25547259312508,0.6752599515201458,325.25,6,20.77,12.0,7,1,False,False
141,Cheyenne Horton,M,23,Other,2020-02-28,Silver,46,False,175.07128504605902,0.1615825395536879,587.7,8,21.22,20.0,6,1,False,False
142,David Douglas Jr.,M,27,USA,2019-12-27,Bronze,48,False,126.85773740842347,0.6687333721235711,521.62,3,9.88,6.0,2,1,False,False
143,Patricia Rodriguez,F,35,EU,2021-12-04,Silver,25,True,152.88021209735695,0.5221231486233853,494.39,7,16.23,14.0,8,0,False,False
144,Christopher Rubio,M,38,USA,2021-10-03,Gold,27,True,236.54786805694016,0.4896278077903735,586.73,13,10.1,39.0,14,0,False,False
145,Amber Wright,F,18,USA,2023-11-23,Bronze,1,False,102.8050896585186,0.4943419421712458,295.86,4,20.78,12.0,4,1,False,False
146,Joyce Solis,F,32,USA,2022-11-05,Bronze,14,False,111.42762881853054,0.5959680621683967,183.14,4,15.71,12.0,4,0,False,False
147,Victoria Larson,F,27,EU,2022-08-18,Bronze,16,False,129.8716057151034,0.6538932859735365,252.34,7,13.37,21.0,8,1,False,False
148,Stephanie Salazar,F,26,EU,2019-11-03,Gold,50,False,137.84096199021758,0.4645386918809439,1156.72,12,25.96,48.0,14,0,False,False
149,Kathy Rivas,F,34,USA,2022-03-05,Silver,22,False,127.0434332158855,0.4798743303732355,461.68,8,21.66,32.0,6,0,False,False
150,Stephanie Manning,M,27,USA,2020-10-09,Platinum,39,True,375.0408862754013,0.5913418993097306,933.9399999999999,25,11.03,20.0,21,1,False,True
151,David Wright,F,46,Other,2021-07-28,Silver,29,True,193.0536177391168,0.18528849597657,530.18,8,17.55,24.0,7,1,False,False
152,Pamela Boyd,M,44,USA,2022-03-06,Bronze,22,False,71.84148125263064,0.4851952525270434,288.46999999999997,6,17.26,12.0,6,0,False,False
153,Denise Jones,M,44,USA,2019-10-15,Silver,51,False,196.86910793422143,0.5747123516942949,312.53999999999996,6,16.44,18.0,5,0,False,False
154,Devon Flores,M,28,EU,2020-11-27,Bronze,37,True,48.55721167519869,0.4260029654524288,436.13,6,14.81,12.0,5,0,False,False
155,Brenda Hall,F,23,Other,2023-09-18,Bronze,3,False,112.51179037390158,0.3802084629912992,376.6,5,13.92,10.0,6,1,False,False
156,Michelle Brown,M,33,USA,2023-12-08,Bronze,0,False,104.37588570670007,0.4771497054406369,360.88,4,18.67,12.0,4,0,False,False
157,Joshua Perry,M,31,EU,2020-07-12,Bronze,42,True,85.33774715547301,0.4122598071616944,659.67,9,18.57,27.0,8,0,False,False
158,Jason Stein,M,26,Asia,2019-07-22,Bronze,54,True,86.56907752718514,0.4631522206274959,365.37,2,10.54,6.0,2,1,False,False
159,Melissa Gates,F,21,USA,2023-11-06,Bronze,1,False,87.3063258431484,0.4291829101988951,246.47,4,9.46,12.0,3,0,False,False
160,Jamie Smith,F,32,Asia,2021-08-08,Bronze,29,True,95.91695158592633,0.7342454383722925,412.52,6,19.02,12.0,4,1,False,False
161,Paul Castaneda,F,28,USA,2021-11-23,Bronze,25,True,139.72070749183257,0.3290708716462619,465.19,0,25.15,0.0,1,0,False,False
162,Jennifer Adkins,F,39,EU,2019-08-15,Silver,53,True,174.69310912421625,0.6252170851904191,814.03,8,15.15,24.0,7,1,False,False
163,Lindsey Walker,M,39,EU,2019-11-16,Bronze,50,True,128.6880826013847,0.4119157067269818,306.75,5,19.16,15.0,6,0,False,False
164,Jeffrey Johnson,M,44,EU,2021-09-05,Bronze,28,True,93.55845690230542,0.5488723333786244,755.87,5,10.91,20.0,4,1,False,False
165,Michael Powell,F,20,USA,2019-12-11,Bronze,49,False,104.60517848114326,0.5970539693630363,491.15,2,16.98,6.0,1,1,False,False
166,John Anderson,M,37,Asia,2020-07-25,Silver,41,False,117.85216088649484,0.729559990953394,705.13,10,19.23,40.0,10,1,False,False
167,Alyssa Long,M,25,USA,2019-07-17,Silver,54,True,141.64665837723894,0.5589379684727815,748.29,10,13.7,20.0,10,0,False,False
168,Alyssa Day,M,20,USA,2021-12-13,Gold,24,False,177.90001691741867,0.4405361289436245,720.4399999999999,15,32.22,45.0,19,0,False,False
169,Joel Williams,F,28,USA,2022-11-20,Gold,13,False,219.5455689667283,0.5098661123448592,1169.71,12,19.39,24.0,14,1,False,False
170,Daniel Murphy,M,43,EU,2019-11-26,Bronze,49,True,85.86291220455016,0.7877715172254893,133.92000000000002,4,14.52,8.0,4,0,False,False
171,Jamie Walton,F,29,EU,2023-06-28,Bronze,6,False,83.26270136065088,0.5245179485936982,271.46000000000004,6,14.43,18.0,4,1,False,False
172,Darlene Miller,M,48,USA,2020-10-27,Bronze,38,False,107.92701838490298,0.3038263661327992,480.98,5,15.71,15.0,5,0,False,False
173,Joshua Cooke,F,38,EU,2020-07-25,Platinum,41,True,296.7889819876907,0.4425063561423079,770.94,21,15.54,63.0,16,1,False,False
174,Matthew Harrington,M,29,USA,2020-05-16,Silver,44,True,128.98397824289728,0.4386420728300645,602.66,4,14.29,8.0,4,0,False,False
175,Nicole Herring,M,44,EU,2023-09-18,Bronze,3,False,83.06711737757699,0.6094952672535527,329.9,5,22.2,10.0,4,0,False,False
176,Alex Hernandez,M,37,USA,2023-12-13,Bronze,0,False,85.98260448984034,0.3167020562511157,112.37,1,15.41,4.0,1,0,False,False
177,Michael Elliott,F,23,EU,2020-05-03,Bronze,44,False,116.29229053797393,0.4238338760443346,253.28,3,11.47,9.0,3,0,False,False
178,Michael Wang,M,51,USA,2020-05-03,Bronze,44,True,108.350562847252,0.5320281253705599,269.46999999999997,3,25.36,12.0,3,0,False,False
179,Lawrence Adkins,F,35,Other,2020-01-06,Gold,48,True,169.79291499294283,0.457937016346947,376.74,4,23.11,8.0,4,1,False,False
180,Robert Oconnell,F,33,USA,2019-09-15,Silver,52,False,128.53827537186115,0.5136379635340409,661.0500000000001,6,26.61,18.0,5,0,False,False
181,Alexander Collins,F,24,USA,2023-11-19,Silver,1,False,115.58000093888892,0.5221381279388854,923.61,10,18.48,40.0,12,1,False,False
182,Tina Sanders,M,44,USA,2021-09-03,Bronze,28,True,92.13483468711226,0.5321735840351844,424.21000000000004,6,20.41,18.0,4,0,False,False
183,Angela Vaughn,M,38,Other,2019-01-21,Bronze,60,True,102.45908505497982,0.3609554414056837,314.57,5,18.44,20.0,3,1,False,False
184,Ashley Barton,M,39,Asia,2021-12-03,Silver,25,True,123.6317597696072,0.6196376296002314,420.17,5,18.58,20.0,5,1,False,False
185,Lindsay Martinez,F,27,USA,2019-06-21,Silver,55,False,215.61940680260471,0.4197073258256126,576.46,6,5.42,24.0,5,1,False,False
186,Dr. Hannah Patterson,F,41,EU,2019-08-03,Bronze,53,True,112.47564870093996,0.4982613041989545,876.8900000000001,4,23.42,8.0,4,0,False,False
187,Jonathan Peterson,F,42,Asia,2021-02-18,Silver,34,True,149.03473370393982,0.318217557413465,663.59,12,16.02,48.0,11,0,False,False
188,Samantha Garcia,F,26,EU,2020-03-08,Gold,46,False,203.4029049993184,0.505984096639838,974.45,18,20.48,36.0,15,1,False,False
189,Madison Poole,M,18,EU,2021-03-16,Bronze,34,False,72.17190844899889,0.5285266222339321,297.33,5,14.26,20.0,3,0,False,False
